,number,verbose,result
222,9.08,Two or more data types in declaration of,-
223,9.09,li undeclaration,-
224,9.10,Invalid lvalue in assignmount,-
225,9.11,Ok (8),+
226,9.12,Invalid lvalue in assignmount,-
227,9.13,Two or more data types in declaration of,-
228,10.02,Ok,“_”- undeclaration
229,10.03,"FILE – undeclaration, fp - undeclaration",+
230,10.04,"Ok, Ok",-
231,10.05,,+
232,10.06,Ok(2),-
233,10.07,Invalid lvalue in increment,+
234,10.08,"Parse error defore “,”",+
235,10.09,Parse error defore “=”,+
236,10.10,Ok,+
237,10.11,Ok,+
238,10.12,Nondigits is number and  not hexadecimal parse error,+
239,11.01,Ok(4),+
240,11.02,Ok(4),+
241,11.03,Ok(8),+
242,11.04,Ok,+
243,11.05,False,-
244,11.06,Numeric conctant contains digits beyond the radix,+
245,11.07,Ok,+
246,11.08,Numeric conctant contains digits beyond the radix,+
247,11.09,Ok,+
248,11.10,Ok(3),+
249,11.11,Ok,+
250,11.12,Ok(2),+
251,11.13,Parser error before “/”,+
252,11.14,Invalid lvalue in increment,+
253,11.15,Invalid lvalue in increment,+
254,11.16,Ok(2),+
255,11.17,Ok(3),+
256,11.18,Ok(2),+
